event_label,CRNN,BEATs,WavLM,CRNN + BEATs,CRNN + WavLM,CRNN + BEATs + WavLM
Alarm_bell_ringing,64.04,78.7784,61.4119,81.2134,54.976,81.0152
Blender,63.83,89.8488,68.2078,89.6384,64.0019,88.8305
Cat,73.48,84.5759,65.6705,87.8447,69.0696,81.6425
Dishes,50.55,73.1987,63.6072,75.8939,63.5641,74.0469
Dog,59.67,66.7206,64.6419,67.7612,64.1583,66.5521
Electric_shaver_toothbrush,84.23,94.1863,80.474,94.7622,70.4424,94.162
Frying,83.89,81.1169,85.2464,85.5827,86.9437,84.0493
Running_water,71.4,71.2867,65.8304,78.5855,72.7984,72.1707
Speech,80.2,85.5259,82.0654,83.4276,81.4714,83.7771
Vacuum_cleaner,81.2,94.2204,79.5664,93.149,82.8958,93.2217
